frame_number,monkey_ID,monkey_name,monkey_id_confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,bbox_confidence,nose_x,nose_y,nose_confidence,left_eye_x,left_eye_y,left_eye_confidence,right_eye_x,right_eye_y,right_eye_confidence,left_ear_x,left_ear_y,left_ear_confidence,right_ear_x,right_ear_y,right_ear_confidence,left_shoulder_x,left_shoulder_y,left_shoulder_confidence,right_shoulder_x,right_shoulder_y,right_shoulder_confidence,left_elbow_x,left_elbow_y,left_elbow_confidence,right_elbow_x,right_elbow_y,right_elbow_confidence,left_wrist_x,left_wrist_y,left_wrist_confidence,right_wrist_x,right_wrist_y,right_wrist_confidence,left_hip_x,left_hip_y,left_hip_confidence,right_hip_x,right_hip_y,right_hip_confidence,left_knee_x,left_knee_y,left_knee_confidence,right_knee_x,right_knee_y,right_knee_confidence,left_ankle_x,left_ankle_y,left_ankle_confidence,right_ankle_x,right_ankle_y,right_ankle_confidence
13,1,Jok,0.6333,1014.0,154.6,1085.1,345.2,0.9505,954.31,154.00,0.0000,1063.99,220.03,0.0000,954.31,154.00,0.0000,1062.12,171.53,0.0000,954.31,154.00,0.0000,1055.41,228.24,0.0000,1023.33,211.08,0.0000,1016.98,266.29,0.0000,1012.88,274.87,0.0000,1008.03,249.13,0.0000,1006.54,344.63,0.0000,1056.15,279.72,0.0000,1043.84,266.29,0.0000,1037.13,306.20,0.0000,1015.87,290.54,0.0000,1014.37,344.63,0.0000,1002.06,344.63,0.0000
14,0,Elm,0.6999,866.9,46.1,1039.0,410.3,0.9411,1011.74,110.70,0.0000,957.00,85.10,0.0000,1011.74,105.72,0.0000,770.73,46.00,0.0000,770.73,46.00,0.0000,770.73,46.00,0.0000,986.86,136.29,0.0000,882.35,206.67,0.0000,770.73,46.00,0.0000,1025.96,171.12,0.0000,1019.56,181.79,0.0000,859.60,319.71,0.0000,949.18,343.17,0.0000,855.34,259.99,0.0000,770.73,46.00,0.0000,881.64,346.73,0.0000,770.73,46.00,0.0000
14,1,Jok,0.6324,1014.2,155.2,1085.3,345.2,0.9506,954.62,155.00,0.0000,954.62,155.00,0.0000,954.62,155.00,0.0000,1061.87,219.94,0.0000,954.62,155.00,0.0000,1051.85,228.85,0.0000,954.62,155.00,0.0000,1016.97,266.70,0.0000,1012.89,275.23,0.0000,1012.89,249.63,0.0000,1004.35,344.63,0.0000,1056.30,274.49,0.0000,1043.69,270.04,0.0000,1032.55,306.41,0.0000,1013.26,290.45,0.0000,1014.74,344.63,0.0000,1002.50,344.63,0.0000
15,0,Elm,0.6984,864.9,45.0,1038.5,409.1,0.9417,1014.01,115.38,0.0000,955.00,84.81,0.0000,1014.01,109.70,0.0000,768.73,45.00,0.0000,768.73,45.00,0.0000,768.73,45.00,0.0000,984.86,138.84,0.0000,878.93,206.38,0.0000,768.73,45.00,0.0000,1024.67,174.39,0.0000,1021.83,186.48,0.0000,861.87,318.71,0.0000,947.89,342.88,0.0000,861.87,258.99,0.0000,768.73,45.00,0.0000,879.64,345.02,0.0000,768.73,45.00,0.0000
15,1,Jok,0.6468,1013.7,155.2,1085.8,345.4,0.9503,954.37,155.00,0.0000,1063.84,220.31,0.0000,954.37,155.00,0.0000,1061.24,168.73,0.0000,954.37,155.00,0.0000,1051.59,226.62,0.0000,954.37,155.00,0.0000,1015.97,269.67,0.0000,1012.63,275.23,0.0000,1007.43,344.63,0.0000,1006.32,344.63,0.0000,1061.61,270.41,0.0000,1056.05,274.12,0.0000,1027.47,310.12,0.0000,1015.60,290.82,0.0000,1014.11,344.63,0.0000,1003.72,344.63,0.0000
16,0,Elm,0.7248,868.3,47.2,1038.5,408.0,0.9399,1014.66,116.80,0.0000,956.84,89.30,0.0000,1015.36,106.23,0.0000,772.11,47.00,0.0000,772.11,47.00,0.0000,772.11,47.00,0.0000,985.75,139.37,0.0000,882.10,206.35,0.0000,772.11,47.00,0.0000,1025.23,171.09,0.0000,1022.41,187.31,0.0000,860.24,318.46,0.0000,949.08,345.25,0.0000,990.68,259.23,0.0000,772.11,47.00,0.0000,882.10,345.25,0.0000,772.11,47.00,0.0000
16,1,Jok,0.6404,1013.9,155.4,1085.7,345.5,0.9499,954.37,155.00,0.0000,1063.84,221.80,0.0000,954.37,155.00,0.0000,1042.69,167.62,0.0000,954.37,155.00,0.0000,1051.22,233.30,0.0000,954.37,155.00,0.0000,1018.20,269.67,0.0000,1012.63,275.23,0.0000,1007.80,344.63,0.0000,1003.72,344.63,0.0000,1055.68,274.49,0.0000,1056.05,280.06,0.0000,1032.30,309.75,0.0000,1018.94,290.82,0.0000,1013.74,344.63,0.0000,1004.09,344.63,0.0000
17,0,Elm,0.7257,866.1,48.3,1038.0,407.5,0.9414,1013.25,118.12,0.0000,955.75,90.07,0.0000,1013.95,111.81,0.0000,772.04,48.00,0.0000,772.04,48.00,0.0000,772.04,48.00,0.0000,985.20,137.05,0.0000,880.72,207.17,0.0000,772.04,48.00,0.0000,1024.46,176.31,0.0000,1018.86,187.53,0.0000,859.69,317.95,0.0000,948.04,341.09,0.0000,990.11,259.75,0.0000,772.04,48.00,0.0000,927.70,344.60,0.0000,772.04,48.00,0.0000
17,1,Jok,0.6465,1014.3,155.6,1085.4,345.6,0.9499,954.62,155.00,0.0000,954.62,155.00,0.0000,954.62,155.00,0.0000,1052.59,167.99,0.0000,954.62,155.00,0.0000,1051.48,226.25,0.0000,954.62,155.00,0.0000,1018.45,269.67,0.0000,1012.89,275.23,0.0000,1035.52,249.26,0.0000,1008.43,344.63,0.0000,1056.30,274.49,0.0000,1043.69,274.49,0.0000,1032.55,298.24,0.0000,1016.23,290.82,0.0000,1014.74,344.63,0.0000,996.19,344.63,0.0000
18,0,Elm,0.7271,865.1,47.7,1038.4,407.3,0.9414,1014.77,116.61,0.0000,956.41,89.19,0.0000,1015.47,106.06,0.0000,772.19,47.00,0.0000,772.19,47.00,0.0000,772.19,47.00,0.0000,985.94,137.70,0.0000,882.58,206.61,0.0000,772.19,47.00,0.0000,1025.31,180.59,0.0000,1021.09,186.92,0.0000,860.08,317.70,0.0000,948.67,343.72,0.0000,864.30,258.64,0.0000,772.19,47.00,0.0000,928.28,344.42,0.0000,772.19,47.00,0.0000
